Metric,Mar 2007,Mar 2008,Mar 2009,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,115,111,139,240,269,302,324,504,558,565,690,753
Expenses+,105,109,153,220,241,269,277,422,457,467,600,664
Operating Profit,9,3,-15,19,28,34,48,82,102,97,90,89
OPM %,8%,3%,-11%,8%,10%,11%,15%,16%,18%,17%,13%,12%
Other Income+,10,16,15,11,2,4,2,7,6,7,12,13
Interest,8,8,13,8,7,9,6,8,15,22,24,16
Depreciation,4,4,5,7,5,8,9,10,14,21,25,26
Profit before tax,8,7,-18,16,18,21,35,71,78,62,53,60
Tax %,47%,28%,4%,-8%,16%,14%,29%,28%,25%,25%,23%,
Net Profit+,4,5,-19,17,15,18,25,51,58,47,41,46
EPS in Rs,3.42,4.10,-15.61,6.92,6.19,7.46,10.25,21.00,23.97,19.16,16.72,18.99
Dividend Payout %,35%,0%,0%,7%,0%,7%,0%,0%,2%,0%,0%,
