Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,305,359,335,354,335,339,392,371,632,999,"1,020",992,992
Expenses+,280,315,306,326,305,312,359,347,580,898,897,872,877
Operating Profit,24,44,30,28,30,26,33,24,52,102,123,120,114
OPM %,8%,12%,9%,8%,9%,8%,8%,6%,8%,10%,12%,12%,12%
Other Income+,6,4,4,15,7,119,4,11,6,7,6,12,12
Interest,20,22,20,24,22,16,13,16,21,30,49,62,56
Depreciation,5,11,8,10,10,12,12,12,13,14,16,21,21
Profit before tax,6,15,5,9,5,118,11,5,24,65,64,50,49
Tax %,10%,19%,90%,48%,26%,8%,3%,28%,35%,27%,43%,16%,
Net Profit+,5,12,1,5,3,109,11,4,15,47,37,42,42
EPS in Rs,1.21,2.84,0.14,-0.30,0.71,21.71,2.20,0.78,3.04,9.31,6.47,5.71,5.73
Dividend Payout %,5%,3%,59%,-34%,14%,0%,9%,26%,8%,5%,5%,5%,
