Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,55.16,82.41,65.99,68.43,76.50,75.17
Expenses+,54.68,80.40,62.55,65.12,74.21,73.40
Operating Profit,0.48,2.01,3.44,3.31,2.29,1.77
OPM %,0.87%,2.44%,5.21%,4.84%,2.99%,2.35%
Other Income+,0.00,0.01,0.12,0.26,0.28,0.28
Interest,0.16,0.32,0.46,0.17,0.24,0.15
Depreciation,0.08,0.24,0.20,0.25,0.22,0.20
Profit before tax,0.24,1.46,2.90,3.15,2.11,1.70
Tax %,37.50%,26.71%,25.86%,26.03%,29.38%,
Net Profit+,0.14,1.07,2.17,2.56,2.29,2.17
EPS in Rs,0.01,0.07,0.15,0.18,0.16,0.15
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,
