Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,736","1,698","1,616","1,634","1,792","2,015","1,911","1,500","1,710","2,699","2,633","2,918","3,134"
Expenses+,"1,593","1,505","1,413","1,395","1,537","1,743","1,701","1,421","1,685","2,573","2,543","2,782","2,940"
Operating Profit,143,192,203,240,255,272,210,80,25,127,91,137,194
OPM %,8%,11%,13%,15%,14%,14%,11%,5%,1%,5%,3%,5%,6%
Other Income+,82,-31,138,56,93,24,25,-26,20,55,-270,56,54
Interest,5,2,1,1,1,4,5,7,5,12,9,16,19
Depreciation,45,48,46,47,52,52,61,60,59,57,84,103,105
Profit before tax,175,111,294,249,295,240,169,-14,-19,113,-273,72,125
Tax %,30%,25%,32%,27%,32%,32%,25%,36%,83%,38%,34%,109%,
Net Profit+,123,84,201,181,202,163,127,-19,-35,70,-367,-6,35
EPS in Rs,5.05,3.42,8.23,7.40,8.28,6.74,5.59,-0.81,-1.52,3.37,-5.83,2.51,4.47
Dividend Payout %,26%,73%,67%,74%,66%,59%,-0%,-25%,-13%,27%,-34%,80%,
