Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,051","1,065",992,"5,901","7,261","9,345","12,244","11,535","17,991","18,117","17,295","17,370","16,766"
Expenses+,122,136,126,"4,260","5,217","6,805","9,027","7,961","14,491","14,437","13,887","14,720","14,319"
Operating Profit,929,928,866,"1,642","2,044","2,540","3,217","3,574","3,500","3,680","3,407","2,650","2,447"
OPM %,88%,87%,87%,28%,28%,27%,26%,31%,19%,20%,20%,15%,15%
Other Income+,57,42,94,118,122,135,108,130,148,136,248,350,420
Interest,142,118,80,278,242,427,369,227,112,70,56,57,37
Depreciation,184,189,183,436,447,468,518,542,579,621,664,709,730
Profit before tax,660,664,697,"1,046","1,477","1,780","2,438","2,936","2,957","3,125","2,935","2,234","2,099"
Tax %,36%,38%,33%,31%,35%,33%,7%,25%,25%,25%,26%,27%,
Net Profit+,417,488,465,718,958,"1,190","2,279","2,192","2,231","2,342","2,184","1,637","1,542"
EPS in Rs,7.39,8.64,8.26,9.84,13.15,17.71,30.65,28.48,29.04,29.09,29.41,19.69,18.25
Dividend Payout %,14%,14%,18%,15%,13%,11%,7%,7%,7%,17%,17%,25%,
