Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,211,224,176,161,231,208,178,153,237,276,242,245,243
Expenses+,201,213,167,151,215,195,166,138,215,253,225,230,230
Operating Profit,10,11,9,10,16,13,12,15,21,22,16,15,14
OPM %,5%,5%,5%,6%,7%,6%,7%,10%,9%,8%,7%,6%,6%
Other Income+,0,0,0,1,0,1,0,0,2,1,1,1,1
Interest,6,8,6,5,7,5,5,5,5,6,6,9,8
Depreciation,3,2,2,2,2,2,2,2,2,2,2,3,3
Profit before tax,2,2,1,4,7,7,5,8,16,16,8,4,4
Tax %,27%,35%,45%,31%,32%,24%,22%,30%,26%,30%,23%,25%,
Net Profit+,1,1,0,3,5,5,4,5,12,11,6,3,3
EPS in Rs,2.28,2.46,0.72,4.89,9.19,9.87,7.24,10.02,22.33,20.28,11.98,5.89,5.07
Dividend Payout %,29%,27%,92%,20%,11%,10%,14%,10%,4%,5%,8%,17%,
