Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,731,854,"1,005","1,071","1,041",968,"1,107","1,242","1,541","1,669","1,817","1,665","1,725"
Expenses+,610,689,834,914,906,892,983,"1,017","1,213","1,381","1,572","1,565","1,653"
Operating Profit,120,166,171,157,135,77,123,225,328,288,245,100,72
OPM %,16%,19%,17%,15%,13%,8%,11%,18%,21%,17%,13%,6%,4%
Other Income+,2,2,1,4,5,6,2,3,2,1,20,6,6
Interest,19,11,12,6,24,21,26,22,14,25,38,66,85
Depreciation,31,47,61,63,68,72,71,73,79,71,92,114,119
Profit before tax,72,110,99,91,48,-9,29,132,237,193,136,-74,-127
Tax %,20%,24%,17%,15%,15%,-69%,16%,30%,35%,26%,29%,5%,
Net Profit+,58,83,82,77,41,-3,24,93,155,142,97,-78,-115
EPS in Rs,6.29,8.99,8.89,8.36,4.47,-0.31,2.62,10.10,16.80,15.44,10.68,-7.99,-11.98
Dividend Payout %,22%,18%,18%,19%,22%,-95%,11%,15%,13%,15%,14%,-2%,
