Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,84,166,190,507,980,891,975,"1,013"
Expenses+,62,116,116,321,868,742,877,921
Operating Profit,21,50,73,186,112,149,98,92
OPM %,26%,30%,39%,37%,11%,17%,10%,9%
Other Income+,0,0,1,3,6,24,32,33
Interest,6,10,16,22,23,27,22,21
Depreciation,4,9,12,15,21,26,35,37
Profit before tax,13,31,46,152,74,120,74,67
Tax %,10%,33%,24%,25%,24%,23%,36%,
Net Profit+,11,21,35,128,63,86,45,40
EPS in Rs,5.27,7.77,12.03,43.59,20.87,20.86,11.01,9.85
Dividend Payout %,2%,0%,0%,0%,2%,7%,14%,
