Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,972","1,506","1,220","1,702","2,389","3,077","2,912","2,785","4,692","6,125","6,414","6,351","5,990"
Expenses+,"1,946","1,537","1,379","1,815","2,482","3,054","2,876","2,689","4,484","5,795","5,485","5,484","5,312"
Operating Profit,26,-31,-159,-113,-93,24,36,96,209,330,929,867,678
OPM %,1%,-2%,-13%,-7%,-4%,1%,1%,3%,4%,5%,14%,14%,11%
Other Income+,23,32,16,21,-22,36,49,10,29,-38,193,68,74
Interest,345,384,425,46,34,112,103,88,99,89,73,63,65
Depreciation,143,134,122,118,107,102,97,94,91,98,86,94,102
Profit before tax,-440,-518,-690,-256,-257,-154,-114,-76,48,105,963,778,585
Tax %,-24%,-22%,0%,0%,0%,0%,0%,0%,0%,45%,9%,28%,
Net Profit+,-333,-406,-690,-256,-257,-154,-114,-76,48,58,880,558,420
EPS in Rs,-9.90,-11.01,-17.74,-5.93,-5.33,-3.19,-2.07,-1.37,0.87,0.79,10.75,6.12,4.60
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
