Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,123,368,797,571,198,76,526,341,308,350,719,82,139
Expenses+,129,394,624,481,209,116,548,313,292,324,612,108,176
Operating Profit,-6,-26,173,90,-11,-40,-21,28,16,26,106,-26,-37
OPM %,-5%,-7%,22%,16%,-6%,-53%,-4%,8%,5%,7%,15%,-32%,-27%
Other Income+,14,6,7,7,7,8,1,12,14,20,6,15,31
Interest,11,14,6,37,9,31,21,19,11,6,6,7,3
Depreciation,3,3,3,3,3,4,4,4,2,3,4,4,4
Profit before tax,-6,-37,172,58,-17,-67,-45,17,17,36,101,-22,-14
Tax %,11%,-27%,29%,17%,55%,-6%,-41%,62%,40%,27%,35%,-24%,-21%
Net Profit+,-7,-27,121,48,-26,-63,-26,6,10,26,66,-17,-11
EPS in Rs,-1.16,-3.39,15.45,6.05,-3.33,-8.27,-3.57,0.82,1.28,3.33,8.59,-1.92,-1.18
Raw PDF,,,,,,,,,,,,,
