Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,42,49,56,75,84,80,176,205,348,305,437,606,586
Expenses+,36,43,48,64,73,69,161,179,290,274,392,540,519
Operating Profit,6,6,9,11,11,11,16,26,58,31,45,65,67
OPM %,14%,13%,15%,15%,13%,14%,9%,13%,17%,10%,10%,11%,11%
Other Income+,0,-0,0,0,1,0,0,0,1,0,0,0,0
Interest,3,3,4,3,3,3,9,12,11,11,15,31,32
Depreciation,1,1,2,3,3,3,6,8,8,7,9,17,17
Profit before tax,2,2,3,6,6,6,1,7,41,13,21,18,18
Tax %,18%,31%,25%,33%,18%,26%,-87%,35%,29%,23%,30%,28%,
Net Profit+,1,1,2,4,5,5,1,4,29,10,15,13,13
EPS in Rs,7.89,5.94,11.53,18.01,4.04,2.71,0.63,2.53,16.30,5.52,8.25,7.27,7.49
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,20%,6%,0%,6%,7%,
