Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,197,234,253,224,227,290,327,268,284,355,379,316,306
Expenses+,103,107,113,118,125,149,156,153,154,171,175,176,176
Operating Profit,94,126,140,106,102,141,171,115,131,184,203,140,131
OPM %,48%,54%,55%,47%,45%,49%,52%,43%,46%,52%,54%,44%,43%
Other Income+,1,1,2,1,3,1,4,0,1,1,1,2,2
Interest,45,44,45,48,47,53,53,52,51,50,47,45,42
Depreciation,25,24,24,23,23,33,33,35,35,35,35,34,34
Profit before tax,25,59,73,36,35,56,89,29,45,100,122,63,56
Tax %,22%,18%,20%,24%,25%,21%,6%,31%,23%,20%,12%,23%,25%
Net Profit+,19,49,59,28,26,44,84,20,35,80,108,48,42
EPS in Rs,0.21,0.50,0.56,0.30,0.29,0.45,0.85,0.25,0.37,0.79,1.07,0.48,0.44
Raw PDF,,,,,,,,,,,,,
