Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,222,268,275,253,247,301,288,317,357,411,421,487,507
Expenses+,208,250,253,232,225,269,256,275,308,352,363,426,443
Operating Profit,14,18,22,21,22,32,32,42,50,58,58,61,64
OPM %,6%,7%,8%,8%,9%,11%,11%,13%,14%,14%,14%,12%,13%
Other Income+,0,1,1,3,1,0,2,3,3,3,4,29,28
Interest,4,3,3,3,4,4,3,2,2,2,4,6,7
Depreciation,3,5,6,5,5,6,6,6,8,8,8,10,10
Profit before tax,8,11,14,15,14,23,25,37,42,51,50,74,76
Tax %,34%,36%,33%,34%,38%,34%,25%,24%,26%,27%,27%,23%,
Net Profit+,5,7,9,10,8,15,19,28,32,37,36,57,59
EPS in Rs,7.90,10.87,15.03,16.15,13.54,24.02,30.26,45.30,52.28,59.20,58.21,92.04,94.16
Dividend Payout %,19%,14%,13%,12%,15%,8%,7%,7%,6%,5%,5%,3%,
