Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,101,165,217,273,286,377,405,321,590,699,583,697,705
Expenses+,97,161,209,260,268,351,380,304,560,657,535,611,619
Operating Profit,5,5,9,13,18,25,26,18,29,42,49,86,86
OPM %,5%,3%,4%,5%,6%,7%,6%,5%,5%,6%,8%,12%,12%
Other Income+,0,1,0,0,0,-1,0,0,0,0,1,1,2
Interest,3,3,3,5,6,7,9,7,9,14,18,32,34
Depreciation,2,2,3,5,6,10,10,7,9,11,15,29,29
Profit before tax,0,1,2,4,6,7,7,4,12,16,17,26,25
Tax %,324%,75%,41%,37%,47%,45%,9%,31%,35%,20%,23%,26%,
Net Profit+,-1,0,1,2,3,4,7,3,8,13,13,19,19
EPS in Rs,-7.80,1.60,7.04,1.84,2.62,3.18,4.62,1.87,5.25,7.18,7.20,10.67,10.31
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
