Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,368","1,733","2,011","2,131","2,273","2,871","3,069","3,779","4,558","5,625","6,136","6,293"
Expenses+,"1,336","1,696","1,940","2,073","2,153","2,737","2,852","3,507","4,292","5,270","5,648","5,745"
Operating Profit,32,37,71,58,120,134,217,273,266,355,488,548
OPM %,2%,2%,4%,3%,5%,5%,7%,7%,6%,6%,8%,9%
Other Income+,4,8,7,8,11,17,21,31,46,40,48,61
Interest,14,17,19,28,50,47,55,66,83,96,103,109
Depreciation,9,10,11,12,59,75,88,119,182,224,250,261
Profit before tax,14,19,48,26,23,29,95,118,47,73,183,239
Tax %,46%,52%,40%,-65%,48%,94%,34%,20%,-6%,11%,18%,
Net Profit+,7,9,29,42,12,2,63,95,50,66,150,195
EPS in Rs,419.34,508.71,"1,620.57","2,080.06",585.46,107.02,"1,393.11",8.03,4.17,5.48,12.56,16.29
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
