Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,432",0,"1,138","1,761","2,298","2,462","2,660","2,860"
Expenses+,419,5,300,385,751,691,741,763
Operating Profit,"1,013",-5,838,"1,376","1,547","1,772","1,920","2,097"
OPM %,71%,,74%,78%,67%,72%,72%,73%
Other Income+,260,0,22,-68,-110,-22,12,37
Interest,446,0,171,264,343,457,557,707
Depreciation,220,0,209,329,355,383,406,444
Profit before tax,607,-5,479,714,738,911,968,984
Tax %,15%,0%,30%,37%,58%,38%,47%,
Net Profit+,515,-5,335,447,308,561,514,535
EPS in Rs,,,5.18,7.15,4.78,8.85,7.82,8.20
Dividend Payout %,0%,0%,185%,258%,399%,216%,278%,
