Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,44,58,36,61,62,106,83,129,113,113
Expenses+,39,55,35,47,52,90,67,100,83,86
Operating Profit,5,3,1,14,9,16,16,29,29,27
OPM %,12%,6%,1%,23%,15%,15%,19%,22%,26%,24%
Other Income+,3,4,4,3,2,1,2,4,3,2
Interest,0,1,0,8,8,8,10,14,14,13
Depreciation,2,3,2,6,5,5,6,8,9,9
Profit before tax,6,4,2,3,-2,4,2,11,9,8
Tax %,20%,21%,27%,15%,-37%,60%,-63%,40%,16%,
Net Profit+,3,-0,0,2,-1,1,4,6,7,5
EPS in Rs,1.84,-0.09,0.07,1.08,-1.15,0.60,2.39,3.01,4.14,2.94
Dividend Payout %,41%,-807%,"1,100%",14%,-13%,25%,0%,0%,0%,
