Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,249,520,237,139,212,504,207,126,220,549,206,139,249
Expenses+,198,389,204,143,178,382,216,128,191,394,200,144,207
Operating Profit,51,130,32,-4,34,122,-10,-2,28,155,6,-6,42
OPM %,20%,25%,14%,-3%,16%,24%,-5%,-2%,13%,28%,3%,-4%,17%
Other Income+,4,6,8,8,6,6,8,7,9,6,13,10,9
Interest,5,10,5,7,10,11,10,9,12,15,12,11,13
Depreciation,9,10,13,11,13,14,13,14,15,16,16,15,16
Profit before tax,40,116,21,-16,18,103,-24,-18,11,130,-9,-22,22
Tax %,24%,26%,8%,-25%,25%,25%,-27%,-25%,26%,26%,11%,-25%,25%
Net Profit+,30,86,20,-12,13,77,-18,-13,8,97,-10,-16,16
EPS in Rs,14.62,41.63,9.56,-5.60,6.40,37.27,-8.57,-6.40,3.88,46.66,-4.99,-7.82,7.84
Raw PDF,,,,,,,,,,,,,
