Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,39,43,56,42,56,69,81,73,64,69
Expenses+,44,48,55,45,50,63,77,81,73,77
Operating Profit,-5,-4,1,-3,6,6,4,-8,-9,-8
OPM %,-12%,-10%,2%,-8%,11%,9%,5%,-11%,-15%,-11%
Other Income+,1,1,2,1,14,1,2,2,49,51
Interest,7,9,8,8,7,8,10,11,12,12
Depreciation,9,9,9,9,9,9,9,8,9,9
Profit before tax,-20,-20,-14,-19,4,-10,-13,-26,18,22
Tax %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
Net Profit+,-20,-20,-14,-19,4,-10,-13,-26,19,22
EPS in Rs,-8.21,-8.44,-5.70,-7.97,1.64,-4.17,-5.32,-10.73,7.69,9.17
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
