Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,97,124,183,195,202,214,244,97,83,115,185,247,298
Expenses+,74,101,156,167,166,177,215,87,76,112,173,225,271
Operating Profit,24,23,27,28,36,36,29,10,7,3,11,22,27
OPM %,24%,18%,15%,14%,18%,17%,12%,10%,9%,2%,6%,9%,9%
Other Income+,4,7,12,6,6,7,11,9,11,12,14,15,15
Interest,8,10,15,9,11,13,17,16,15,11,8,4,4
Depreciation,1,1,1,2,2,2,2,2,2,1,1,1,1
Profit before tax,18,19,23,23,29,28,21,1,2,2,16,32,37
Tax %,35%,36%,38%,36%,31%,29%,22%,41%,32%,37%,28%,26%,
Net Profit+,12,12,14,15,20,20,16,-1,-2,-0,11,20,22
EPS in Rs,0.40,0.32,0.38,0.38,0.51,0.51,0.42,-0.02,-0.05,-0.01,0.29,0.52,0.56
Dividend Payout %,25%,31%,29%,29%,22%,0%,0%,0%,0%,0%,0%,0%,
