Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,29,20,9,88,45,5,1,91,136,146
Expenses+,19,20,8,85,43,8,9,80,103,107
Operating Profit,10,-0,1,2,2,-3,-8,11,33,39
OPM %,35%,-2%,10%,3%,4%,-58%,-815%,12%,24%,27%
Other Income+,10,9,8,3,3,4,3,11,9,9
Interest,9,6,5,6,4,0,0,5,16,18
Depreciation,0,0,0,0,0,0,0,1,5,5
Profit before tax,11,2,3,-1,1,1,-6,16,20,25
Tax %,36%,38%,6%,-399%,401%,118%,-28%,16%,28%,
Net Profit+,7,1,3,2,-2,-0,-4,13,15,18
EPS in Rs,,,0.07,0.05,-0.06,-0.00,-0.10,0.34,0.37,0.46
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,
