Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,541,725,883,"1,044","1,190","1,318","1,405","1,146","1,617","1,766","1,293","1,659","1,764"
Expenses+,522,695,818,905,"1,033","1,133","1,189","1,013","1,473","1,580","1,113","1,547","1,664"
Operating Profit,19,30,66,139,157,186,216,133,144,186,181,112,100
OPM %,3%,4%,7%,13%,13%,14%,15%,12%,9%,11%,14%,7%,6%
Other Income+,4,6,8,6,6,7,12,8,10,11,5,31,50
Interest,12,36,46,43,40,35,36,30,25,14,11,61,63
Depreciation,10,18,23,24,26,27,32,33,34,36,37,66,66
Profit before tax,1,-17,4,78,97,131,161,78,95,148,138,16,20
Tax %,35%,95%,-335%,36%,7%,28%,27%,26%,36%,33%,9%,-11%,
Net Profit+,0,-33,18,50,90,95,117,57,61,99,125,18,31
EPS in Rs,0.26,-19.64,10.48,29.22,53.02,55.61,68.60,33.63,35.85,58.35,73.72,10.37,18.09
Dividend Payout %,0%,0%,0%,7%,6%,7%,0%,3%,0%,0%,3%,39%,
