Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,522,532,529,461,564,825,663,505,775,828,575,621,838
Expenses+,489,503,475,398,509,777,638,445,713,778,559,577,778
Operating Profit,33,29,54,63,55,48,26,60,62,50,16,45,60
OPM %,6%,5%,10%,14%,10%,6%,4%,12%,8%,6%,3%,7%,7%
Other Income+,1,8,4,3,-2,9,6,9,9,8,11,11,10
Interest,10,8,6,6,5,8,5,4,3,4,3,2,8
Depreciation,13,7,7,7,5,6,7,6,6,6,6,6,9
Profit before tax,11,22,44,53,44,43,20,59,62,48,18,48,53
Tax %,32%,33%,33%,35%,36%,37%,36%,26%,26%,26%,28%,26%,
Net Profit+,7,15,30,34,28,27,13,43,46,36,13,35,39
EPS in Rs,0.81,1.63,3.36,3.84,3.14,3.07,1.46,4.83,5.15,4.03,1.48,3.97,4.42
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
