Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,898,854,173,68,449,40,48,401,505,639,699,725,825
Expenses+,750,818,194,111,503,113,50,350,419,527,554,598,647
Operating Profit,147,36,-20,-43,-54,-73,-2,52,86,112,145,127,178
OPM %,16%,4%,-12%,-64%,-12%,-182%,-3%,13%,17%,18%,21%,18%,22%
Other Income+,61,29,-2,5,45,3,11,39,44,44,1,83,70
Interest,122,125,124,125,124,126,130,2,2,3,45,42,36
Depreciation,7,7,7,7,5,5,4,4,4,5,5,5,5
Profit before tax,79,-67,-152,-170,-137,-201,-124,85,123,148,96,164,206
Tax %,-9%,-9%,98%,1%,1%,-1%,-2%,-84%,-45%,0%,2%,1%,-2%
Net Profit+,86,-61,-302,-172,-138,-198,-122,156,179,148,95,162,210
EPS in Rs,0.18,-0.13,-0.65,-0.37,-0.30,-0.43,-0.26,0.34,0.38,0.25,0.15,0.25,0.29
Raw PDF,,,,,,,,,,,,,
