Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,335.55,459.43,828.23,677.62,460.42,531.88,"1,076.57","1,320.68",671.30,967.69,"1,909.86","1,503.85",655.37
Expenses+,308.70,422.36,752.50,611.82,422.86,489.92,960.12,"1,190.05",614.90,882.53,"1,698.00","1,382.61",625.28
Operating Profit,26.85,37.07,75.73,65.80,37.56,41.96,116.45,130.63,56.40,85.16,211.86,121.24,30.09
OPM %,8.00%,8.07%,9.14%,9.71%,8.16%,7.89%,10.82%,9.89%,8.40%,8.80%,11.09%,8.06%,4.59%
Other Income+,0.86,1.10,1.17,1.30,3.29,5.04,3.39,3.91,4.14,7.20,19.86,18.18,14.59
Interest,8.86,12.12,17.59,14.04,12.20,9.73,15.75,18.33,15.03,22.40,33.09,33.90,16.71
Depreciation,8.11,8.65,10.46,10.71,11.05,11.28,13.57,15.07,15.45,16.39,18.70,20.83,21.65
Profit before tax,10.74,17.40,48.85,42.35,17.60,25.99,90.52,101.14,30.06,53.57,179.93,84.69,6.32
Tax %,33.15%,21.09%,17.79%,20.19%,29.60%,25.97%,20.92%,16.02%,35.23%,25.07%,18.64%,21.23%,62.50%
Net Profit+,7.18,13.74,40.17,33.81,12.37,19.18,69.55,83.70,19.33,39.54,145.23,66.98,2.76
EPS in Rs,0.34,0.60,1.77,1.49,0.48,0.74,2.67,3.21,0.74,1.40,5.13,2.36,0.10
Raw PDF,,,,,,,,,,,,,
