Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,651,684,729,811,875,986,"1,306",904,918,975,"1,016",953,"1,115"
Expenses+,270,299,298,318,369,434,679,373,400,422,457,389,449
Operating Profit,381,384,431,492,506,552,627,531,518,553,560,564,667
OPM %,58%,56%,59%,61%,58%,56%,48%,59%,56%,57%,55%,59%,60%
Other Income+,32,35,74,29,32,34,37,38,37,46,42,32,31
Interest,83,87,97,96,96,104,100,103,103,103,94,95,92
Depreciation,56,57,65,63,66,66,76,77,78,81,90,93,91
Profit before tax,274,276,343,363,375,416,489,388,374,415,418,407,515
Tax %,19%,23%,14%,20%,19%,17%,20%,19%,22%,15%,17%,21%,26%
Net Profit+,222,211,292,291,305,345,392,315,292,353,348,321,384
EPS in Rs,5.20,4.94,7.11,6.73,7.07,7.82,9.14,6.50,6.10,7.41,7.52,6.73,8.50
Raw PDF,,,,,,,,,,,,,
