Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,986,"1,012","1,024",915,917,"1,141","1,102","1,305","2,333","3,528","3,466","3,228","3,195"
Expenses+,907,919,910,846,865,"1,062","1,024","1,192","2,140","3,220","3,094","2,913","2,961"
Operating Profit,79,93,114,69,52,79,78,112,194,308,372,315,234
OPM %,8%,9%,11%,8%,6%,7%,7%,9%,8%,9%,11%,10%,7%
Other Income+,23,34,18,22,27,32,30,26,36,45,59,89,39
Interest,1,2,2,1,1,1,3,3,3,5,10,19,19
Depreciation,24,38,25,22,24,23,22,22,23,30,44,86,98
Profit before tax,77,86,105,68,53,88,83,113,205,319,377,299,156
Tax %,27%,9%,22%,34%,26%,22%,15%,28%,27%,25%,25%,27%,
Net Profit+,57,78,82,45,39,68,70,81,150,240,283,219,106
EPS in Rs,3.08,4.30,4.63,2.49,2.18,3.73,3.85,4.42,8.18,13.05,15.42,11.91,5.75
Dividend Payout %,72%,38%,35%,65%,74%,57%,70%,49%,51%,34%,39%,50%,
