Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,225,200,219,204,214,233,240,220,245,218,251,247,294
Expenses+,187,162,186,179,180,198,205,191,207,192,218,216,254
Operating Profit,38,38,34,25,34,34,34,30,38,26,33,31,40
OPM %,17%,19%,15%,12%,16%,15%,14%,13%,15%,12%,13%,13%,14%
Other Income+,2,-1,1,1,1,-0,1,1,0,0,1,1,1
Interest,4,4,4,5,5,5,4,5,8,8,7,7,8
Depreciation,4,5,5,4,4,5,5,5,6,6,6,7,7
Profit before tax,31,28,26,17,26,24,26,20,25,12,20,18,27
Tax %,25%,21%,21%,27%,25%,20%,23%,25%,23%,25%,24%,24%,23%
Net Profit+,23,22,20,12,19,20,20,15,19,9,15,14,21
EPS in Rs,4.59,4.33,3.99,2.45,3.84,3.88,3.99,3.00,3.75,1.83,2.99,2.66,4.05
Raw PDF,,,,,,,,,,,,,
