Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,2.64,1.87,2.75,11.39,13.05,16.14,15.96
Expenses+,3.43,2.89,3.80,11.59,13.73,17.18,17.08
Operating Profit,-0.79,-1.02,-1.05,-0.20,-0.68,-1.04,-1.12
OPM %,-29.92%,-54.55%,-38.18%,-1.76%,-5.21%,-6.44%,-7.02%
Other Income+,1.98,1.09,1.09,3.29,3.55,4.84,4.97
Interest,0.41,0.62,0.40,0.53,0.32,1.01,1.15
Depreciation,1.13,1.48,0.96,1.45,2.26,2.78,2.82
Profit before tax,-0.35,-2.03,-1.32,1.11,0.29,0.01,-0.12
Tax %,-34.29%,-24.14%,2.27%,32.43%,10.34%,"-1,100.00%",
Net Profit+,-0.23,-1.54,-1.35,0.75,0.25,0.12,-0.02
EPS in Rs,,,,,0.38,0.18,-0.04
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
