Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,381.88,376.42,190.00,76.13,63.43,65.39,60.28,35.46,27.52,30.13,59.54,57.32,35.20
Expenses+,305.35,283.04,186.45,111.11,108.36,102.52,96.92,53.21,39.61,35.05,40.71,43.59,41.40
Operating Profit,76.53,93.38,3.55,-34.98,-44.93,-37.13,-36.64,-17.75,-12.09,-4.92,18.83,13.73,-6.20
OPM %,20.04%,24.81%,1.87%,-45.95%,-70.83%,-56.78%,-60.78%,-50.06%,-43.93%,-16.33%,31.63%,23.95%,-17.61%
Other Income+,7.29,11.62,15.48,12.47,8.55,6.44,12.33,1.93,4.29,0.64,4.45,0.59,0.66
Interest,0.88,0.38,0.47,0.17,0.26,0.57,16.62,0.52,0.08,0.34,0.25,0.23,0.06
Depreciation,5.48,5.55,4.17,3.98,2.24,3.30,4.12,4.83,4.20,4.06,4.67,4.46,4.31
Profit before tax,77.46,99.07,14.39,-26.66,-38.88,-34.56,-45.05,-21.17,-12.08,-8.68,18.36,9.63,-9.91
Tax %,30.83%,31.98%,26.27%,-36.68%,-30.40%,-18.49%,64.35%,0.05%,31.04%,-0.00%,-0.00%,-0.00%,
Net Profit+,53.58,67.39,10.61,-16.60,-26.44,-28.16,-74.03,-21.19,-15.84,-8.69,18.36,9.64,-9.91
EPS in Rs,20.93,26.22,4.13,-6.35,-10.04,-10.56,-27.99,-7.80,-5.89,-3.17,7.04,3.38,-4.02
Dividend Payout %,14.33%,12.38%,24.22%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,-0.00%,
