Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0.00,1.49,7.45,2.52,2.83,2.02,1.42,1.51,2.01,1.77,1.74,2.00
Expenses+,0.00,1.29,6.34,6.42,3.56,2.18,1.69,1.56,2.13,2.22,2.09,2.18
Operating Profit,0.00,0.20,1.11,-3.90,-0.73,-0.16,-0.27,-0.05,-0.12,-0.45,-0.35,-0.18
OPM %,,13.42%,14.90%,-154.76%,-25.80%,-7.92%,-19.01%,-3.31%,-5.97%,-25.42%,-20.11%,-9.00%
Other Income+,0.00,0.00,0.00,0.00,0.01,0.02,-0.25,0.05,0.20,0.24,0.41,0.41
Interest,0.00,0.00,0.01,0.01,0.01,0.00,0.16,0.31,0.27,0.05,0.00,0.00
Depreciation,0.00,0.18,0.90,0.85,0.84,0.83,0.83,0.82,0.80,0.80,0.80,0.80
Profit before tax,0.00,0.02,0.20,-4.76,-1.57,-0.97,-1.51,-1.13,-0.99,-1.06,-0.74,-0.57
Tax %,,-150.00%,0.00%,0.00%,0.00%,0.00%,1.32%,0.00%,0.00%,2.83%,0.00%,
Net Profit+,0.00,0.05,0.20,-4.76,-1.57,-0.98,-1.52,-1.14,-0.99,-1.09,-0.74,-0.56
EPS in Rs,,0.05,0.19,-4.54,-1.50,-0.93,-1.45,-1.09,-0.94,-1.04,-0.71,-0.54
Dividend Payout %,,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
