Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,292,330,310,384,495,655,526,597,719,"1,005","1,208","1,447","1,440"
Expenses+,269,302,281,346,441,582,474,540,650,913,"1,086","1,330","1,325"
Operating Profit,23,28,29,39,54,73,52,57,69,92,122,117,115
OPM %,8%,8%,9%,10%,11%,11%,10%,10%,10%,9%,10%,8%,8%
Other Income+,0,-2,0,1,1,1,2,10,2,2,3,-6,0
Interest,11,10,9,7,8,16,21,18,22,32,44,52,53
Depreciation,2,6,3,3,4,5,5,6,7,8,10,19,17
Profit before tax,10,10,17,29,43,53,28,44,42,54,72,40,45
Tax %,41%,38%,36%,35%,31%,38%,20%,32%,26%,26%,26%,52%,
Net Profit+,6,6,11,19,30,33,22,30,31,40,53,19,25
EPS in Rs,0.12,0.13,0.22,0.19,0.22,0.25,0.17,0.21,0.22,0.25,0.34,0.11,0.15
Dividend Payout %,0%,0%,0%,0%,4%,10%,12%,5%,9%,8%,0%,0%,
