Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,471,606,170,323,739,957,"1,130","1,180"
Expenses+,392,455,239,311,501,691,724,750
Operating Profit,79,150,-69,11,238,267,406,429
OPM %,17%,25%,-41%,4%,32%,28%,36%,36%
Other Income+,-44,-118,8,-8,42,-52,0,85
Interest,220,252,309,347,522,345,229,210
Depreciation,119,126,112,101,96,114,117,117
Profit before tax,-304,-346,-481,-444,-339,-244,61,188
Tax %,0%,-0%,-1%,0%,0%,-4%,-41%,
Net Profit+,-305,-344,-478,-444,-339,-235,86,188
EPS in Rs,-406.69,-45.11,-62.61,-58.21,-39.68,-10.76,3.87,8.07
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,
