Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,709,605,685,677,629,621,701,693,676,754,734,790,786
Expenses+,631,546,614,623,582,573,634,626,620,690,677,732,709
Operating Profit,79,59,71,54,46,48,67,67,56,64,58,58,77
OPM %,11%,10%,10%,8%,7%,8%,10%,10%,8%,8%,8%,7%,10%
Other Income+,-0,-1,-12,1,2,1,2,3,-0,-5,10,11,-3
Interest,16,13,10,14,16,18,23,23,25,21,25,30,29
Depreciation,22,25,14,22,22,27,26,28,28,29,30,36,10
Profit before tax,40,19,35,19,11,4,19,20,3,9,13,3,34
Tax %,24%,10%,14%,33%,1%,13%,29%,27%,-85%,72%,26%,16%,32%
Net Profit+,30,18,30,13,11,4,14,14,6,2,10,2,23
EPS in Rs,6.73,3.90,6.69,2.83,2.35,0.85,3.03,3.17,1.23,0.54,2.11,0.47,5.13
Raw PDF,,,,,,,,,,,,,
