Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,185,182,204,163,172,204,263,205,242,483,241,207,230
Expenses+,128,119,154,113,111,139,193,154,181,399,160,151,161
Operating Profit,57,63,49,50,61,66,70,51,61,84,80,55,69
OPM %,31%,35%,24%,31%,35%,32%,27%,25%,25%,17%,33%,27%,30%
Other Income+,11,15,17,18,13,15,18,12,13,16,23,14,11
Interest,1,1,2,1,0,1,0,0,0,0,5,1,1
Depreciation,4,6,6,7,8,9,12,13,14,15,17,17,19
Profit before tax,63,71,58,59,66,70,76,51,59,84,82,51,60
Tax %,25%,26%,25%,27%,27%,25%,29%,27%,24%,26%,27%,28%,27%
Net Profit+,47,53,44,43,48,52,54,37,45,62,60,37,44
EPS in Rs,2.42,2.76,2.27,2.26,2.49,2.71,2.79,1.91,2.33,3.23,3.12,1.90,2.27
Raw PDF,,,,,,,,,,,,,
