Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,292,297,264,428,435,544,383,930,"1,179",968,"1,371","2,516","2,603"
Expenses+,249,249,244,368,356,454,371,788,"1,068",901,"1,146","1,913","2,005"
Operating Profit,43,47,20,60,78,89,12,142,110,67,225,603,598
OPM %,15%,16%,8%,14%,18%,16%,3%,15%,9%,7%,16%,24%,23%
Other Income+,10,11,9,2,3,4,4,4,6,3,4,17,16
Interest,13,13,14,17,14,18,21,16,16,19,19,44,48
Depreciation,7,10,12,13,14,15,17,18,19,18,19,20,23
Profit before tax,34,36,3,33,54,60,-22,111,82,32,190,556,543
Tax %,27%,26%,58%,35%,35%,25%,-35%,32%,21%,25%,25%,27%,
Net Profit+,25,26,1,22,35,45,-14,76,65,24,142,408,402
EPS in Rs,2.73,2.61,0.11,1.96,3.16,4.09,-1.28,6.85,5.88,2.19,11.79,33.97,33.24
Dividend Payout %,12%,13%,-0%,-0%,20%,20%,-0%,19%,6%,15%,6%,3%,
