Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Sales+,697,906,"1,146","1,195","1,410","1,442","1,608","1,537","1,446","1,345","1,291","1,179"
Expenses+,583,768,900,992,"1,100","1,119","1,294","1,294","1,254","1,225","1,260","1,195"
Operating Profit,114,138,246,203,311,323,314,243,192,120,31,-17
OPM %,16%,15%,21%,17%,22%,22%,20%,16%,13%,9%,2%,-1%
Other Income+,12,30,23,6,-3,-42,-35,-11,0,25,97,33
Interest,119,121,140,127,140,171,158,126,120,115,82,96
Depreciation,84,133,165,241,326,365,346,349,331,344,258,125
Profit before tax,-77,-85,-36,-160,-158,-254,-224,-243,-259,-314,-212,-205
Tax %,8%,20%,14%,12%,7%,4%,-4%,-1%,1%,0%,-3%,4%
Net Profit+,-83,-102,-41,-179,-170,-264,-214,-241,-261,-315,-205,-213
EPS in Rs,-1.81,-1.61,-0.60,-2.16,-2.22,-3.05,-2.32,-2.75,-2.89,-3.21,-2.11,-2.40
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
