Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,81,89,49,71,25,42,427,316,169,162,206,188,252
Expenses+,71,71,60,79,39,57,274,285,132,113,137,141,175
Operating Profit,10,18,-11,-8,-14,-15,153,31,37,49,69,48,78
OPM %,12%,20%,-22%,-12%,-57%,-35%,36%,10%,22%,30%,33%,25%,31%
Other Income+,11,10,8,18,12,19,8,12,13,13,13,13,10
Interest,18,20,29,17,16,17,18,10,10,9,12,15,19
Depreciation,2,2,3,2,2,2,3,3,4,3,3,3,4
Profit before tax,1,6,-34,-9,-20,-15,140,30,37,49,67,43,65
Tax %,-80%,67%,-18%,-29%,-31%,-36%,28%,24%,6%,14%,25%,22%,24%
Net Profit+,2,2,-28,-7,-14,-10,101,23,35,43,50,33,49
EPS in Rs,0.16,0.14,-1.91,-0.46,-0.95,-0.66,6.92,1.56,2.36,2.90,3.44,2.28,3.34
Raw PDF,,,,,,,,,,,,,
