Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"3,767","3,643","3,778","3,898","4,306","4,197","4,490","4,578","4,925","4,812","5,150","5,309","5,523"
Expenses+,"3,256","3,174","3,288","3,431","3,744","3,728","4,039","4,047","4,434","4,321","4,813","4,763","4,978"
Operating Profit,511,469,489,467,562,469,451,531,490,491,337,546,544
OPM %,14%,13%,13%,12%,13%,11%,10%,12%,10%,10%,7%,10%,10%
Other Income+,7,95,188,42,59,609,77,62,71,77,150,72,93
Interest,12,11,11,11,13,13,15,16,16,15,16,17,14
Depreciation,92,95,124,108,112,119,115,110,119,127,137,152,164
Profit before tax,414,460,542,390,496,946,398,467,426,426,334,449,459
Tax %,33%,29%,12%,27%,30%,12%,31%,32%,30%,34%,53%,32%,34%
Net Profit+,277,324,477,284,346,828,274,317,299,280,158,303,302
EPS in Rs,11.08,12.19,16.14,11.14,13.77,27.58,9.88,11.73,10.69,10.01,2.40,10.28,9.65
Raw PDF,,,,,,,,,,,,,
