Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,487,546,596,718,541,625,612,560,536,484,282,446,447
Expenses+,441,424,518,651,428,558,578,496,305,238,259,290,301
Operating Profit,46,122,78,67,113,67,34,64,231,246,24,156,146
OPM %,9%,22%,13%,9%,21%,11%,6%,11%,43%,51%,8%,35%,33%
Other Income+,-18,-34,5,107,15,3,-82,15,18,19,45,-6,-5
Interest,12,10,12,15,13,19,19,17,12,18,37,31,29
Depreciation,18,11,19,21,19,21,18,15,19,48,80,84,86
Profit before tax,-1,67,51,138,96,30,-85,47,218,199,-48,36,26
Tax %,198%,8%,4%,23%,4%,1%,-22%,7%,3%,1%,7%,5%,
Net Profit+,-5,62,50,106,92,30,-66,44,211,197,-51,34,24
EPS in Rs,-2.09,27.95,22.40,48.31,41.92,13.56,-30.12,20.16,96.13,89.67,-23.23,15.44,10.95
Dividend Payout %,-286%,7%,6%,2%,4%,9%,0%,10%,3%,2%,0%,10%,
