Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Revenue+,"29,394","32,164","32,316","32,817","32,952","34,314","37,479","69,311","68,230","81,163","100,376","108,417","109,144"
Interest,"21,467","23,640","23,894","23,776","23,471","23,896","25,837","44,112","40,178","48,033","63,364","70,733","71,947"
Expenses+,"8,829","9,498","10,349","13,871","21,181","19,019","21,166","36,270","32,264","36,155","32,422","34,738","35,669"
Financing Profit,-902,-973,"-1,928","-4,830","-11,700","-8,601","-9,523","-11,071","-4,213","-3,024","4,590","2,946","1,528"
Financing Margin %,-3%,-3%,-6%,-15%,-36%,-25%,-25%,-16%,-6%,-4%,5%,3%,1%
Other Income+,"3,141","3,957","3,934","5,430","5,462","5,042","5,789","14,307","13,524","15,915","17,813","21,562","21,257"
Depreciation,198,225,249,241,368,374,417,908,745,745,896,"1,084",0
Profit before tax,"2,040","2,759","1,758",359,"-6,607","-3,933","-4,151","2,327","8,566","12,147","21,507","23,424","22,785"
Tax %,18%,36%,24%,-58%,-21%,-25%,-27%,-22%,39%,31%,36%,23%,
Net Profit+,"1,687","1,771","1,347",573,"-5,212","-2,922","-3,121","2,863","5,265","8,512","13,797","18,027","18,488"
EPS in Rs,26.59,27.69,19.73,8.33,-44.61,-16.58,-9.12,4.47,7.70,12.45,18.07,23.62,24.22
Dividend Payout %,15%,22%,10%,0%,0%,0%,0%,0%,25%,24%,20%,20%,
