Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,573,638,"1,375",851,862,"1,084","1,290",833,953,"1,037","1,231",908,960
Expenses+,539,580,"1,247",780,802,"1,008","1,202",784,905,972,"1,143",847,888
Operating Profit,34,58,128,71,60,75,88,49,48,65,88,61,72
OPM %,6%,9%,9%,8%,7%,7%,7%,6%,5%,6%,7%,7%,8%
Other Income+,9,1,40,33,28,46,87,15,12,19,98,55,47
Interest,18,16,26,20,22,23,24,18,24,26,33,32,38
Depreciation,4,5,5,5,6,7,6,6,6,6,6,5,5
Profit before tax,21,38,137,79,61,92,145,40,30,52,148,79,77
Tax %,16%,25%,26%,25%,23%,25%,25%,26%,19%,25%,26%,25%,23%
Net Profit+,18,28,101,59,47,69,108,29,24,39,110,59,59
EPS in Rs,14.80,23.86,85.49,49.65,39.45,58.02,91.43,24.85,20.56,32.98,92.77,49.46,49.89
Raw PDF,,,,,,,,,,,,,
