Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,768","2,006","2,957","3,360","2,293","2,626","4,203","4,921","2,619","3,105","4,768","3,939","2,347"
Expenses+,"1,696","1,962","2,767","3,206","2,256","2,633","4,051","4,527","2,489","2,940","4,467","3,786","2,313"
Operating Profit,72,44,190,154,37,-8,152,394,130,165,301,153,34
OPM %,4%,2%,6%,5%,2%,-0%,4%,8%,5%,5%,6%,4%,1%
Other Income+,-42,-107,47,70,71,58,54,80,105,59,80,82,65
Interest,7,6,12,10,11,14,21,10,14,16,23,14,20
Depreciation,10,11,10,11,12,13,12,13,16,18,14,18,24
Profit before tax,13,-80,214,203,85,24,174,452,205,191,343,203,54
Tax %,145%,37%,33%,36%,58%,216%,36%,26%,35%,31%,31%,31%,42%
Net Profit+,-6,-110,143,129,36,-28,111,335,133,131,236,141,32
EPS in Rs,-0.22,-3.34,4.35,3.91,1.11,-0.92,3.52,10.10,4.05,3.99,7.28,4.24,1.04
Raw PDF,,,,,,,,,,,,,
