Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,66.04,113.20,98.60,184.64,75.16,123.56,99.69,172.90,67.38,121.51,96.78,168.24,80.15
Expenses+,46.62,56.76,56.27,67.76,54.75,69.08,64.27,81.51,68.47,84.36,77.04,91.56,72.67
Operating Profit,19.42,56.44,42.33,116.88,20.41,54.48,35.42,91.39,-1.09,37.15,19.74,76.68,7.48
OPM %,29.41%,49.86%,42.93%,63.30%,27.16%,44.09%,35.53%,52.86%,-1.62%,30.57%,20.40%,45.58%,9.33%
Other Income+,3.69,4.56,14.04,5.63,6.24,5.96,5.15,4.57,3.84,4.99,10.81,10.82,8.36
Interest,0.05,0.07,0.16,0.15,0.14,0.18,0.17,0.13,0.22,0.16,0.22,0.11,0.11
Depreciation,8.65,8.54,8.98,10.14,8.02,9.93,10.11,12.35,14.62,14.61,15.54,16.89,17.73
Profit before tax,14.41,52.39,47.23,112.22,18.49,50.33,30.29,83.48,-12.09,27.37,14.79,70.50,-2.00
Tax %,27.00%,25.67%,25.79%,24.72%,26.83%,25.77%,25.35%,24.25%,-221.75%,25.83%,25.49%,25.42%,-12.50%
Net Profit+,10.53,38.94,35.05,84.47,13.52,37.36,22.61,63.24,14.72,20.30,11.01,52.57,-1.75
EPS in Rs,1.86,6.88,6.20,14.93,2.39,6.60,4.00,11.18,2.60,3.20,1.74,8.29,-0.28
Raw PDF,,,,,,,,,,,,,
