Metric,Mar 2011,Mar 2012,Mar 2014,Mar 2015,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,25,38,50,56,85,95,106,131,139,180,292,402
Expenses+,21,33,43,47,77,90,105,116,132,173,298,395
Operating Profit,4,5,6,8,8,5,1,15,7,8,-6,7
OPM %,14%,13%,13%,15%,9%,5%,1%,11%,5%,4%,-2%,2%
Other Income+,0,0,0,0,2,2,2,2,2,1,2,4
Interest,0,1,1,1,0,0,0,0,3,5,11,12
Depreciation,0,1,1,2,1,2,3,4,12,20,43,59
Profit before tax,3,3,5,6,8,4,-0,12,-5,-16,-58,-60
Tax %,34%,33%,33%,33%,29%,29%,-41%,28%,23%,-11%,-2%,
Net Profit+,2,2,3,4,6,3,-0,9,-6,-14,-57,-62
EPS in Rs,2.17,1.43,1.85,2.12,2.26,1.12,-0.09,3.54,-2.29,-5.55,-19.70,-21.35
Dividend Payout %,0%,50%,38%,34%,32%,90%,"-1,170%",42%,-44%,-18%,-5%,
