,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,635","1,584","1,971","2,598","2,162","2,220","2,311","2,527","2,794","3,055","2,340","3,073","3,800"
Expenses +,687,718,"1,118",334,81,521,645,693,415,850,460,680,758
Operating Profit,948,866,853,"2,264","2,081","1,699","1,666","1,834","2,379","2,205","1,880","2,393","3,042"
OPM %,58%,55%,43%,87%,96%,77%,72%,73%,85%,72%,80%,78%,80%
Other Income +,66,100,216,265,178,353,264,234,271,224,280,48,189
Interest,458,498,617,"1,338","1,393","1,165","1,242","1,224","1,426","1,369","1,251","1,368","1,525"
Depreciation,280,298,330,392,451,474,481,497,596,618,618,663,767
Profit before tax,276,170,122,799,415,413,207,347,628,442,291,410,939
Tax %,21%,14%,52%,38%,34%,29%,33%,24%,28%,6%,-37%,29%,25%
Net Profit +,214,149,103,507,323,371,256,310,629,515,474,383,824
EPS in Rs,1.35,0.94,0.65,3.21,2.03,2.35,1.62,0.95,2.82,1.74,3.11,1.45,4.39
Raw PDF,,,,,,,,,,,,,
