,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"3,093","3,235","3,939","4,084","3,767","3,925","4,009","4,455","4,011","4,645","4,716","5,210","5,104"
Expenses +,"2,856","3,009","3,596","3,660","3,421","3,576","3,604","4,028","3,634","4,288","4,360","4,752","4,652"
Operating Profit,237,226,343,424,346,349,405,427,377,357,356,458,452
OPM %,8%,7%,9%,10%,9%,9%,10%,10%,9%,8%,8%,9%,9%
Other Income +,4,12,7,11,14,19,21,27,15,33,34,17,25
Interest,61,71,94,79,70,103,113,101,90,101,118,100,86
Depreciation,25,26,26,27,27,28,29,31,31,32,33,36,38
Profit before tax,156,141,230,328,263,237,284,322,270,257,238,340,353
Tax %,21%,27%,26%,26%,25%,27%,23%,27%,25%,24%,27%,26%,25%
Net Profit +,122,103,170,243,197,174,218,236,203,194,175,250,263
EPS in Rs,32.00,26.82,44.40,63.43,51.59,45.44,54.16,58.81,50.42,48.27,43.55,62.23,65.45
Raw PDF,,,,,,,,,,,,,
