,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"2,851","3,076","3,353","3,629","3,877","3,774","3,866","4,164","4,106","3,689","3,476","3,853","3,909"
Expenses +,"2,426","2,645","2,914","3,191","3,282","3,153","3,169","3,521","3,365","3,042","2,853","3,174","3,239"
Operating Profit,425,432,439,438,595,621,698,643,741,647,623,679,670
OPM %,15%,14%,13%,12%,15%,16%,18%,15%,18%,18%,18%,18%,17%
Other Income +,30,44,37,17,67,51,58,45,-99,62,38,57,50
Interest,40,53,109,97,114,124,137,116,124,110,96,88,82
Depreciation,181,188,186,181,206,211,224,207,218,213,218,224,226
Profit before tax,235,235,181,177,341,337,395,366,300,385,347,424,411
Tax %,32%,40%,56%,28%,37%,36%,36%,38%,42%,37%,39%,33%,31%
Net Profit +,160,142,79,128,214,215,254,227,175,243,213,283,284
EPS in Rs,3.53,3.13,1.77,2.91,4.80,4.88,5.68,5.07,4.36,5.23,4.45,5.90,5.93
Raw PDF,,,,,,,,,,,,,
