,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"3,701","4,380","4,197","4,023","4,011","4,433","4,256","4,069","4,250","4,668","4,593","4,432","4,622"
Expenses +,"3,200","3,668","3,379","3,222","3,322","3,562","3,437","3,286","3,497","3,888","3,750","3,632","3,870"
Operating Profit,501,712,818,801,689,871,820,784,753,780,843,801,752
OPM %,14%,16%,19%,20%,17%,20%,19%,19%,18%,17%,18%,18%,16%
Other Income +,56,53,428,60,57,52,48,57,31,46,62,63,57
Interest,42,54,38,35,53,53,31,26,29,35,45,31,26
Depreciation,51,52,58,65,71,72,78,80,74,76,82,81,82
Profit before tax,463,659,"1,149",761,622,799,758,735,681,715,778,752,701
Tax %,28%,26%,19%,27%,27%,27%,27%,27%,26%,26%,25%,26%,26%
Net Profit +,336,491,932,558,455,586,556,537,505,532,582,559,520
EPS in Rs,14.01,20.48,38.71,23.19,19.00,24.39,23.10,22.35,20.99,22.06,24.15,23.25,21.62
Raw PDF,,,,,,,,,,,,,
