,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,553,620,619,619,619,668,639,681,645,782,686,767,707
Expenses +,441,484,493,485,476,530,483,519,470,591,503,542,496
Operating Profit,112,136,126,134,144,138,157,161,176,190,183,226,210
OPM %,20%,22%,20%,22%,23%,21%,25%,24%,27%,24%,27%,29%,30%
Other Income +,2,3,3,12,5,9,7,6,5,7,9,12,7
Interest,2,0,3,1,3,1,4,4,4,1,4,3,1
Depreciation,19,18,19,22,22,20,21,21,21,19,21,25,20
Profit before tax,92,120,106,123,124,125,139,143,155,177,167,210,195
Tax %,27%,28%,30%,16%,26%,26%,25%,31%,25%,25%,25%,24%,25%
Net Profit +,68,87,74,103,92,93,104,99,116,133,126,159,146
EPS in Rs,20.74,26.63,22.85,31.52,28.16,28.45,31.90,30.41,35.59,40.82,38.66,48.70,44.71
Raw PDF,,,,,,,,,,,,,
