,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales +,"23,083","19,577","20,857","23,371","23,142","26,927","28,041","26,934","28,497","17,300","24,191","29,463","20,651"
Expenses +,"22,815","19,787","21,215","23,045","23,557","26,663","27,766","26,623","28,807","16,852","23,814","29,024","20,336"
Operating Profit,268,-210,-358,326,-415,264,275,311,-310,448,377,439,315
OPM %,1%,-1%,-2%,1%,-2%,1%,1%,1%,-1%,3%,2%,1%,2%
Other Income +,87,394,882,114,136,103,174,90,279,-29,124,164,157
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,355,184,525,440,-279,367,450,401,-30,419,500,604,471
Tax %,7%,-72%,31%,5%,-235%,-0%,8%,-20%,"-1,541%",-1%,5%,9%,5%
Net Profit +,329,316,362,417,378,368,412,479,435,421,475,548,448
EPS in Rs,1.53,1.47,1.68,1.94,1.76,1.71,1.91,2.23,2.02,1.96,2.21,2.54,2.08
Raw PDF,,,,,,,,,,,,,
