,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,965,"1,002",991,"1,118","1,155","1,118","1,064","1,225","1,269","1,160"
Expenses +,640,659,625,724,792,743,691,808,883,762
Operating Profit,325,343,367,394,362,375,373,417,385,397
OPM %,34%,34%,37%,35%,31%,34%,35%,34%,30%,34%
Other Income +,65,-13,47,31,41,54,60,57,107,61
Interest,4,4,4,5,5,3,3,3,8,4
Depreciation,11,14,14,14,16,14,13,13,12,12
Profit before tax,375,312,395,406,382,412,417,457,472,442
Tax %,26%,26%,25%,26%,26%,25%,26%,25%,24%,25%
Net Profit +,279,232,295,300,284,308,308,341,358,331
EPS in Rs,3.48,2.90,3.68,3.75,3.55,3.85,3.85,4.26,4.48,4.13
Raw PDF,,,,,,,,,,
