,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,617,679,694,707,780,844,836,809,861,957,943,931,"1,031"
Expenses +,485,522,534,540,595,631,620,629,675,728,706,707,784
Operating Profit,133,157,160,167,184,213,216,179,186,228,238,225,247
OPM %,21%,23%,23%,24%,24%,25%,26%,22%,22%,24%,25%,24%,24%
Other Income +,9,16,12,25,15,21,18,27,22,18,16,-27,20
Interest,19,18,21,20,18,20,18,18,18,16,16,15,14
Depreciation,36,37,39,38,40,43,44,45,47,49,48,49,45
Profit before tax,87,117,112,133,141,171,172,143,144,181,189,133,208
Tax %,33%,27%,28%,24%,28%,27%,28%,11%,26%,28%,24%,24%,24%
Net Profit +,59,86,81,101,102,125,124,127,106,131,143,101,159
EPS in Rs,2.32,3.38,3.01,3.77,3.80,4.66,4.61,4.74,3.96,4.87,5.32,3.78,5.92
Raw PDF,,,,,,,,,,,,,
