,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"43,177","44,175","44,602","44,253","43,075","44,983","42,820","47,628","48,529","44,696","45,069","49,834","47,065"
Expenses +,"32,381","33,808","31,783","32,311","30,664","32,303","31,458","33,638","35,091","33,041","31,729","35,080","34,485"
Operating Profit,"10,796","10,367","12,819","11,942","12,411","12,680","11,362","13,990","13,438","11,655","13,341","14,754","12,580"
OPM %,25%,23%,29%,27%,29%,28%,27%,29%,28%,26%,30%,30%,27%
Other Income +,730,"1,380",747,"1,084",994,"1,024","2,532","1,400","1,187","3,227",986,"4,180","3,240"
Interest,"2,477","2,652","3,168","2,860","2,922","2,921","3,250","2,955","3,136","3,621","2,764","3,648","3,468"
Depreciation,"3,542","3,687","3,715","3,848","3,821","4,038","4,074","4,271","4,204","4,216","4,318","4,663","4,587"
Profit before tax,"5,508","5,408","6,683","6,318","6,661","6,746","6,571","8,164","7,284","7,046","7,245","10,623","7,765"
Tax %,28%,37%,27%,23%,26%,30%,21%,20%,24%,24%,29%,26%,21%
Net Profit +,"3,978","3,418","4,854","4,872","4,907","4,726","5,209","6,490","5,506","5,380","5,170","7,897","6,108"
EPS in Rs,4.06,3.44,4.93,5.01,5.03,4.76,5.32,6.36,5.65,5.44,5.22,7.85,6.20
Raw PDF,,,,,,,,,,,,,
