,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"1,341","1,228","1,200",965,"1,229","1,125","1,226",992,"1,278","1,246","1,313","1,098","1,317"
Expenses +,"1,043",990,"1,007",830,991,892,999,828,"1,034",965,"1,011",863,"1,022"
Operating Profit,298,238,193,134,239,234,226,164,243,281,303,235,295
OPM %,22%,19%,16%,14%,19%,21%,18%,17%,19%,23%,23%,21%,22%
Other Income +,3,3,2,7,5,2,9,14,13,15,14,20,15
Interest,9,9,10,14,13,11,10,10,12,11,12,12,13
Depreciation,18,19,20,21,21,25,23,23,22,23,30,25,27
Profit before tax,275,213,164,107,210,199,202,145,222,262,275,219,270
Tax %,25%,24%,25%,26%,25%,25%,25%,25%,26%,26%,26%,25%,26%
Net Profit +,207,162,124,78,158,150,152,108,165,195,205,164,201
EPS in Rs,185.62,145.36,110.93,70.24,141.98,134.73,136.59,97.01,148.13,175.06,183.49,147.04,180.03
Raw PDF,,,,,,,,,,,,,
