,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"3,979","4,273","4,466","4,440","4,600","4,748","4,842","3,537","3,587","5,179","4,019","3,656","3,651"
Expenses +,"3,826","4,139","4,320","4,288","4,446","4,585","4,656","3,477","3,524","4,984","3,957","3,589","3,582"
Operating Profit,153,135,145,152,154,164,186,60,63,196,62,67,70
OPM %,4%,3%,3%,3%,3%,3%,4%,2%,2%,4%,2%,2%,2%
Other Income +,7,9,60,4,4,14,-15,56,6,5,-1,-147,3
Interest,20,26,29,31,27,28,40,8,11,28,9,9,10
Depreciation,61,68,70,76,69,70,72,15,11,70,10,10,10
Profit before tax,79,50,107,48,62,79,59,92,48,102,42,-99,52
Tax %,15%,20%,20%,38%,23%,11%,-8%,-6%,-1%,8%,1%,-4%,2%
Net Profit +,68,40,85,30,48,71,64,98,49,94,42,-95,51
EPS in Rs,4.51,2.84,5.92,2.23,3.23,4.83,4.30,6.36,3.30,6.22,2.80,-6.41,3.42
Raw PDF,,,,,,,,,,,,,
