,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,"10,821","12,507","13,679","16,569","8,963","10,170","9,887","14,078","9,067","11,090","10,907","15,573","9,216"
Expenses +,"8,675","10,090","10,795","13,847","7,747","9,049","9,820","12,230","7,998","9,873","9,229","12,409","7,820"
Operating Profit,"2,146","2,417","2,884","2,722","1,216","1,121",67,"1,848","1,069","1,217","1,678","3,164","1,396"
OPM %,20%,19%,21%,16%,14%,11%,1%,13%,12%,11%,15%,20%,15%
Other Income +,25,35,129,302,58,18,134,66,49,103,94,-168,152
Interest,519,644,894,906,700,871,"1,191","1,090",913,"1,070",730,914,"1,007"
Depreciation,588,608,624,727,636,657,676,794,660,697,688,705,731
Profit before tax,"1,064","1,200","1,495","1,391",-62,-389,"-1,666",30,-455,-447,354,"1,377",-190
Tax %,6%,19%,9%,22%,-265%,-25%,-4%,367%,16%,31%,-141%,22%,-7%
Net Profit +,"1,005",969,"1,360","1,080",102,-293,"-1,607",-80,-527,-585,853,"1,079",-176
EPS in Rs,10.39,9.64,12.87,9.38,1.97,-2.24,-14.41,0.47,-4.55,-5.25,9.81,10.61,-1.04
Raw PDF,,,,,,,,,,,,,
