,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025
Sales +,330,353,348,368,405,413,417,453,462,444,509,482,524
Expenses +,289,303,309,313,335,331,337,358,371,365,427,399,433
Operating Profit,41,50,40,55,70,82,80,95,92,79,82,83,91
OPM %,12%,14%,11%,15%,17%,20%,19%,21%,20%,18%,16%,17%,17%
Other Income +,5,6,7,11,8,8,7,8,10,23,7,10,8
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,7,8,9,8,8,9,11,10,11,12,13,13,15
Profit before tax,39,49,37,58,70,81,76,92,90,90,76,80,85
Tax %,25%,26%,26%,25%,25%,25%,25%,25%,26%,24%,22%,26%,26%
Net Profit +,29,36,28,43,52,60,57,69,67,68,60,59,63
EPS in Rs,1.45,1.78,1.36,2.14,2.57,2.97,2.81,3.39,3.32,3.37,2.95,2.92,3.10
Raw PDF,,,,,,,,,,,,,
