Symbol,Type,Sector
3MINDIA,v200,Diversified
ABSLAMC,v200,Financial Services
ACE,v200,Industrials
AIIL,v200,Financial Services
AJAXENGG,v200,Industrials
AKZOINDIA,v200,Consumer Discretionary
ALIVUS,v200,Healthcare
ALKEM,v200,Healthcare
APARINDS,v200,Industrials
APLAPOLLO,v200,Industrials
ASTRAL,v200,Industrials
BAYERCROP,v200,Commodities
BLS,v200,Consumer Discretionary
BLUEJET,v200,Healthcare
BSOFT,v200,Information Technology
CAPLIPOINT,v200,Healthcare
CASTROLIND,v200,Energy
CELLO,v200,Consumer Discretionary
CERA,v200,Consumer Discretionary
CGPOWER,v200,Industrials
CIGNITITEC,v200,Information Technology
CLEAN,v200,Commodities
COCHINSHIP,v200,Industrials
COFORGE,v200,Information Technology
CRISIL,v200,Financial Services
DHANUKA,v200,Commodities
DIVISLAB,v200,Healthcare
DODLA,v200,Fast Moving Consumer Goods
DOLATALGO,v200,Financial Services
DOMS,v200,Fast Moving Consumer Goods
ECLERX,v200,Services
ELECON,v200,Industrials
EMCURE,v200,Healthcare
FIEMIND,v200,Consumer Discretionary
FINEORG,v200,Commodities
FORCEMOT,v200,Consumer Discretionary
GABRIEL,v200,Consumer Discretionary
GANESHHOUC,v200,
GARFIBRES,v200,Consumer Discretionary
GODFRYPHLP,v200,Fast Moving Consumer Goods
GPIL,v200,Industrials
GPPL,v200,Services
GRAVITA,v200,Commodities
GRINDWELL,v200,Industrials
GRSE,v200,Industrials
GVT&D,v200,Industrials
HEROMOTOCO,v200,Consumer Discretionary
HEXT,v200,Information Technology
HINDCOPPER,v200,Commodities
IGIL,v200,Services
INDIAMART,v200,Consumer Discretionary
INGERRAND,v200,Industrials
INOXINDIA,v200,Industrials
IRCTC,v200,Consumer Discretionary
JBCHEPHARM,v200,Healthcare
JWL,v200,Industrials
JYOTHYLAB,v200,Fast Moving Consumer Goods
KEI,v200,Industrials
KFINTECH,v200,Financial Services
KIRLOSBROS,v200,Industrials
KIRLPNU,v200,Industrials
KPITTECH,v200,Information Technology
KSB,v200,Industrials
KSCL,v200,Fast Moving Consumer Goods
LTIM,v200,Information Technology
LTTS,v200,Information Technology
MAITHANALL,v200,Commodities
MANINFRA,v200,Industrials
MARKSANS,v200,Healthcare
MAZDOCK,v200,Industrials
MGL,v200,Energy
MPHASIS,v200,Information Technology
MSTCLTD,v200,Services
MSUMI,v200,Consumer Discretionary
NATCOPHARM,v200,Healthcare
NATIONALUM,v200,Commodities
NBCC,v200,Industrials
NESCO,v200,Services
NEWGEN,v200,Information Technology
NIITMTS,v200,Consumer Discretionary
NMDC,v200,Commodities
OFSS,v200,Information Technology
PERSISTENT,v200,Information Technology
PETRONET,v200,Energy
PGHL,v200,Healthcare
PIIND,v200,Commodities
POLYCAB,v200,Industrials
RAILTEL,v200,Telecommunication
RATNAMANI,v200,Industrials
RITES,v200,Industrials
SCHAEFFLER,v200,Consumer Discretionary
SHARDAMOTR,v200,Consumer Discretionary
SOLARINDS,v200,Commodities
SPLPETRO,v200,Commodities
SUMICHEM,v200,Commodities
SUPREMEIND,v200,Industrials
SYMPHONY,v200,Consumer Discretionary
TBOTEK,v200,Consumer Discretionary
TCI,v200,Services
TIINDIA,v200,Consumer Discretionary
TIMKEN,v200,Industrials
TRITURBINE,v200,Industrials
VESUVIUS,v200,Industrials
VINATIORGA,v200,Commodities
VOLTAMP,v200,Industrials
WAAREERTL,v200,Industrials
WELCORP,v200,Industrials
ZENSARTECH,v200,Information Technology
ZFCVINDIA,v200,Consumer Discretionary
ZYDUSLIFE,v200,Healthcare
ABBOTINDIA,v40,Healthcare
ASIANPAINT,v40,Consumer Discretionary
AXISBANK,v40,Financial Services
BAJAJ_AUTO,v40,
BAJAJFINSV,v40,Financial Services
BAJAJHLDNG,v40,Financial Services
BAJFINANCE,v40,Financial Services
BATAINDIA,v40,Consumer Discretionary
BERGEPAINT,v40,Consumer Discretionary
COLPAL,v40,Fast Moving Consumer Goods
DABUR,v40,Fast Moving Consumer Goods
GILLETTE,v40,Fast Moving Consumer Goods
GLAXO,v40,Healthcare
HAVELLS,v40,Consumer Discretionary
HCLTECH,v40,Information Technology
HDFCAMC,v40,Financial Services
HDFCBANK,v40,Financial Services
HDFCLIFE,v40,Financial Services
HINDUNILVR,v40,Fast Moving Consumer Goods
ICICIBANK,v40,Financial Services
ICICIGI,v40,Financial Services
ICICIPRULI,v40,Financial Services
INFY,v40,Information Technology
ITC,v40,Fast Moving Consumer Goods
KOTAKBANK,v40,Financial Services
LT,v40,Industrials
MARICO,v40,Fast Moving Consumer Goods
MARUTI,v40,Consumer Discretionary
NAM-INDIA,v40,Financial Services
NESTLEIND,v40,Fast Moving Consumer Goods
PAGEIND,v40,Consumer Discretionary
PFIZER,v40,Healthcare
PGHH,v40,Fast Moving Consumer Goods
PIDILITIND,v40,Commodities
RELIANCE,v40,Energy
SANOFI,v40,Healthcare
TCS,v40,Information Technology
TITAN,v40,Consumer Discretionary
VOLTAS,v40,Consumer Discretionary
ACC,v40next,Commodities
ADANIPORTS,v40next,Services
ANGELONE,v40next,Financial Services
APOLLOHOSP,v40next,Healthcare
ASTRAZEN,v40next,Healthcare
AWL,v40next,Fast Moving Consumer Goods
BAJAJHFL,v40next,Financial Services
BLUESTARCO,v40next,Consumer Discretionary
BOSCHLTD,v40next,Consumer Discretionary
BSE,v40next,Financial Services
CAMS,v40next,Financial Services
CDSL,v40next,Financial Services
CIPLA,v40next,Healthcare
DIXON,v40next,Consumer Discretionary
DMART,v40next,Consumer Discretionary
EICHERMOT,v40next,Consumer Discretionary
ERIS,v40next,Healthcare
FORTIS,v40next,Healthcare
GODREJCP,v40next,Fast Moving Consumer Goods
HONAUT,v40next,Industrials
HYUNDAI,v40next,Consumer Discretionary
INDHOTEL,v40next,Consumer Discretionary
JIOFIN,v40next,Financial Services
JSWINFRA,v40next,Services
KAJARIACER,v40next,Consumer Discretionary
LALPATHLAB,v40next,Healthcare
M&M,v40next,Consumer Discretionary
MCX,v40next,Financial Services
MEDANTA,v40next,Healthcare
MRF,v40next,Consumer Discretionary
QUESS,v40next,Services
RADICO,v40next,Fast Moving Consumer Goods
RELAXO,v40next,Consumer Discretionary
TATAMOTORS,v40next,
TEAMLEASE,v40next,Services
UBL,v40next,Fast Moving Consumer Goods
ULTRACEMCO,v40next,Commodities
UNITDSPR,v40next,Fast Moving Consumer Goods
VBL,v40next,Fast Moving Consumer Goods
ITCHOTELS,v40next,Consumer Discretionary
ABB,ML,Industrials
ADANIENT,ML,Commodities
ADANIGREEN,ML,Utilities
ADANIPOWER,ML,Utilities
AIAENG,ML,Industrials
AMBUJACEM,ML,Commodities
ASHOKLEY,ML,Industrials
BEL,ML,Industrials
BHARATFORG,ML,Consumer Discretionary
BHARTIARTL,ML,Telecommunication
BRITANNIA,ML,Fast Moving Consumer Goods
COALINDIA,ML,Energy
CONCOR,ML,Services
COROMANDEL,ML,Commodities
CROMPTON,ML,Consumer Discretionary
CUMMINSIND,ML,Industrials
DBCORP,ML,Consumer Discretionary
